code ITU,lunghezza(f),lunghezza(m),peso,tipologia,ADR,Refrigerated
1,30,10,,container,no,no
2,30,10,,container,no,no
3,30,10,,container,no,no
4,30,10,,container,no,no
5,30,10,,container,no,no
6,30,10,,container,no,no
7,30,10,,container,no,no
8,30,10,,semitrailer,no,no
9,30,10,,semitrailer,no,no
10,30,10,,container,no,no
11,30,10,,container,no,no
12,30,10,,container,no,no
13,30,10,,container,no,no
14,30,10,,container,no,no
15,30,10,,container,no,no
16,30,10,,container,no,no
17,30,10,,container,no,no
18,30,10,,container,no,no
19,30,10,,container,no,no
20,30,10,,container,no,no
21,30,10,,container,no,no
22,30,10,,container,no,no
23,30,10,,container,no,no
24,30,10,,container,no,no
25,30,10,,container,no,no
26,30,10,,container,no,no
27,30,10,,container,no,no
28,30,10,,container,no,no
29,30,10,,container,no,no
30,30,10,,container,no,no
31,30,10,,container,no,no
32,30,10,,container,no,no
33,30,10,,container,no,no
34,30,10,,container,no,no
35,30,10,,container,no,no
36,30,10,,container,no,no
37,30,10,,container,no,no
38,30,10,,container,no,no
39,30,10,,container,no,no
40,30,10,,container,no,no
41,30,10,,container,no,no
42,30,10,,container,no,no
43,30,10,,container,no,no
44,30,10,,container,no,no
45,30,10,,container,no,no
46,30,10,,container,no,no
47,30,10,,container,no,no
48,30,10,,container,no,no
49,30,10,,container,no,no
50,30,10,,container,no,no
51,30,10,,container,no,no
52,30,10,,container,no,no
53,30,10,,container,no,no
54,30,10,,container,no,no
55,30,10,,container,no,no
56,30,10,,container,no,no
57,30,10,,container,no,no
58,30,10,,container,no,no
59,30,10,,container,no,no
60,30,10,,container,no,no
61,30,10,,container,no,no
62,30,10,,container,no,no
63,30,10,,container,no,no
64,30,10,,container,no,no
65,30,10,,container,no,no
66,30,10,,container,no,no
67,30,10,,container,no,no
68,30,10,,container,no,no
69,30,10,,container,no,no
70,30,10,,container,no,no
71,30,10,,container,no,no
72,30,10,,container,no,no
73,30,10,,container,no,no
74,30,10,,container,no,no
75,30,10,,container,no,no
76,30,10,,container,no,no
77,30,10,,container,no,no
78,30,10,,container,no,no
79,30,10,,container,no,no
80,30,10,,container,no,no
81,30,10,,container,no,no
82,30,10,,container,no,no
83,30,10,,container,no,no
84,30,10,,container,no,no
85,30,10,,container,no,no
86,30,10,,container,no,no
87,30,10,,container,no,no
88,30,10,,container,no,no
89,30,10,,container,no,no
90,30,10,,container,no,no
91,30,10,,container,no,no
92,30,10,,container,no,no
93,30,10,,container,no,no
94,30,10,,container,no,no
95,30,10,,container,no,no
96,30,10,,container,no,no
97,30,10,,container,no,no
98,30,10,,container,no,no
99,30,10,,container,no,no
100,30,10,,container,no,no
101,30,10,,container,no,no
102,30,10,,container,no,no
103,30,10,,container,no,no
104,30,10,,container,no,no
105,30,10,,container,no,no
106,30,10,,container,no,no
107,30,10,,container,no,no
108,30,10,,container,no,no
109,30,10,,container,no,no
110,30,10,,container,no,no
111,30,10,,container,no,no
112,30,10,,container,no,no
113,30,10,,container,no,no
114,30,10,,container,no,no
115,30,10,,container,no,no
116,30,10,,container,no,no
117,30,10,,container,no,no
118,30,10,,container,no,no
119,30,10,,container,no,no
120,30,10,,container,no,no
121,30,10,,container,si,no
122,30,10,,container,si,no
123,30,10,,container,si,no
124,30,10,,container,no,no
125,30,10,,container,no,no
126,30,10,,container,no,no
127,30,10,,container,no,no
128,30,10,,container,no,no
129,30,10,,container,no,no
130,30,10,,container,no,no
131,30,10,,container,no,no
132,30,10,,container,no,no
133,30,10,,container,no,no
134,30,10,,container,no,no
135,30,10,,container,no,no
136,30,10,,container,no,no
137,30,10,,container,no,no
138,30,10,,container,no,no
139,30,10,,container,no,no
140,30,10,,container,no,no
141,30,10,,container,no,no
142,30,10,,container,no,no
143,30,10,,container,no,no
144,30,10,,container,no,no
145,30,10,,container,no,no
146,30,10,,container,no,no
147,30,10,,container,no,no
148,30,10,,container,no,no
149,30,10,,container,no,no
150,30,10,,container,no,no
151,30,10,,container,no,no
152,30,10,,container,no,no
153,30,10,,container,no,no
154,30,10,,container,no,no
155,30,10,,container,no,no
156,30,10,,container,no,no
157,30,10,,container,no,no
158,30,10,,container,no,no
159,30,10,,container,no,no
160,30,10,,container,no,no
161,30,10,,container,no,no
162,30,10,,container,no,no
163,30,10,,container,no,no
164,30,10,,container,no,no
165,30,10,,container,no,no
166,30,10,,container,no,no
167,30,10,,container,no,no
168,30,10,,container,no,no
169,30,10,,container,no,no
170,30,10,,container,no,no
171,30,10,,container,no,no
172,30,10,,container,no,no
173,30,10,,container,no,no
174,30,10,,container,no,no
175,30,10,,container,no,no
176,30,10,,container,no,no
177,30,10,,container,no,no
178,30,10,,container,no,no
179,30,10,,container,no,no
180,30,10,,container,no,no
181,30,10,,container,no,no
182,30,10,,container,no,no
183,30,10,,container,no,no
184,30,10,,container,no,no
185,30,10,,container,no,no
186,30,10,,container,no,no
187,30,10,,container,no,no
188,30,10,,container,no,no
189,30,10,,container,no,no
190,30,10,,container,no,no
191,30,10,,container,no,no
192,30,10,,container,no,no
193,30,10,,container,no,no
194,30,10,,container,no,no
195,30,10,,container,no,no
196,30,10,,container,no,no
197,30,10,,container,no,no
198,30,10,,container,no,no
199,30,10,,container,no,no
200,30,10,,container,no,no
